key,county,year,ext_heat_days
0,Apache,2011,19
1,Apache,2012,19
2,Apache,2013,18
3,Apache,2014,5
4,Apache,2015,18
5,Apache,2016,16
6,Apache,2017,16
7,Apache,2018,31
8,Apache,2019,23
9,Apache,2020,38
10,Apache,2021,24
11,Cochise,2011,34
12,Cochise,2012,25
13,Cochise,2013,19
14,Cochise,2014,4
15,Cochise,2015,14
16,Cochise,2016,19
17,Cochise,2017,17
18,Cochise,2018,18
19,Cochise,2019,26
20,Cochise,2020,35
21,Cochise,2021,16
22,Coconino,2011,17
23,Coconino,2012,20
24,Coconino,2013,16
25,Coconino,2014,4
26,Coconino,2015,19
27,Coconino,2016,17
28,Coconino,2017,16
29,Coconino,2018,28
30,Coconino,2019,22
31,Coconino,2020,36
32,Coconino,2021,22
33,Gila,2011,30
34,Gila,2012,27
35,Gila,2013,16
36,Gila,2014,3
37,Gila,2015,15
38,Gila,2016,22
39,Gila,2017,14
40,Gila,2018,24
41,Gila,2019,31
42,Gila,2020,48
43,Gila,2021,22
44,Graham,2011,28
45,Graham,2012,22
46,Graham,2013,14
47,Graham,2014,3
48,Graham,2015,13
49,Graham,2016,19
50,Graham,2017,15
51,Graham,2018,22
52,Graham,2019,24
53,Graham,2020,48
54,Graham,2021,16
55,Greenlee,2011,25
56,Greenlee,2012,22
57,Greenlee,2013,17
58,Greenlee,2014,4
59,Greenlee,2015,14
60,Greenlee,2016,18
61,Greenlee,2017,17
62,Greenlee,2018,19
63,Greenlee,2019,24
64,Greenlee,2020,46
65,Greenlee,2021,16
66,La Paz,2011,22
67,La Paz,2012,15
68,La Paz,2013,13
69,La Paz,2014,3
70,La Paz,2015,20
71,La Paz,2016,27
72,La Paz,2017,22
73,La Paz,2018,19
74,La Paz,2019,22
75,La Paz,2020,39
76,La Paz,2021,23
77,Maricopa,2011,28
78,Maricopa,2012,21
79,Maricopa,2013,13
80,Maricopa,2014,2
81,Maricopa,2015,16
82,Maricopa,2016,23
83,Maricopa,2017,19
84,Maricopa,2018,19
85,Maricopa,2019,26
86,Maricopa,2020,45
87,Maricopa,2021,22
88,Mohave,2011,18
89,Mohave,2012,14
90,Mohave,2013,18
91,Mohave,2014,4
92,Mohave,2015,15
93,Mohave,2016,25
94,Mohave,2017,22
95,Mohave,2018,22
96,Mohave,2019,22
97,Mohave,2020,36
98,Mohave,2021,26
99,Navajo,2011,21
100,Navajo,2012,20
101,Navajo,2013,16
102,Navajo,2014,3
103,Navajo,2015,19
104,Navajo,2016,20
105,Navajo,2017,15
106,Navajo,2018,29
107,Navajo,2019,27
108,Navajo,2020,41
109,Navajo,2021,21
110,Pima,2011,32
111,Pima,2012,27
112,Pima,2013,14
113,Pima,2014,4
114,Pima,2015,13
115,Pima,2016,21
116,Pima,2017,17
117,Pima,2018,17
118,Pima,2019,28
119,Pima,2020,50
120,Pima,2021,16
121,Pinal,2011,31
122,Pinal,2012,24
123,Pinal,2013,13
124,Pinal,2014,2
125,Pinal,2015,15
126,Pinal,2016,26
127,Pinal,2017,16
128,Pinal,2018,21
129,Pinal,2019,26
130,Pinal,2020,49
131,Pinal,2021,21
132,Santa Cruz,2011,37
133,Santa Cruz,2012,29
134,Santa Cruz,2013,17
135,Santa Cruz,2014,6
136,Santa Cruz,2015,12
137,Santa Cruz,2016,21
138,Santa Cruz,2017,15
139,Santa Cruz,2018,17
140,Santa Cruz,2019,24
141,Santa Cruz,2020,33
142,Santa Cruz,2021,14
143,Yavapai,2011,24
144,Yavapai,2012,27
145,Yavapai,2013,19
146,Yavapai,2014,3
147,Yavapai,2015,17
148,Yavapai,2016,22
149,Yavapai,2017,16
150,Yavapai,2018,19
151,Yavapai,2019,26
152,Yavapai,2020,35
153,Yavapai,2021,22
154,Yuma,2011,25
155,Yuma,2012,17
156,Yuma,2013,12
157,Yuma,2014,6
158,Yuma,2015,22
159,Yuma,2016,24
160,Yuma,2017,21
161,Yuma,2018,19
162,Yuma,2019,22
163,Yuma,2020,36
164,Yuma,2021,24
