year,Apache,Cochise,Coconino,Gila,Graham,Greenlee,La Paz,Maricopa,Mohave,Navajo,Pima,Pinal,Santa Cruz,Yavapai,Yuma
2011,22.2,48.6,19.4,44.4,41.3,43.7,37.9,25.8,32.1,28.2,26.6,28.4,22.8,25.4,30.4
2012,25.9,45.0,18.0,42.8,40.6,63.6,41.2,25.4,33.4,34.9,24.8,27.5,25.6,29.1,28.4
2013,21.7,42.8,17.1,39.6,28.5,52.3,25.8,24.4,31.7,32.2,23.4,25.8,26.9,25.2,27.9
2014,17.5,39.8,15.7,38.9,37.9,24.8,47.9,24.3,30.3,30.8,22.4,25.9,25.3,26.1,32.0
2015,23.1,37.5,18.8,34.3,45.5,43.8,32.7,25.3,34.5,32.2,25.0,29.2,26.3,27.7,35.1
2016,23.0,37.1,19.7,37.6,37.0,46.7,30.5,25.9,34.1,33.1,25.7,27.4,24.9,27.6,31.7
2017,19.4,38.1,17.7,44.3,54.8,54.0,23.4,26.1,33.4,34.0,24.8,27.3,23.9,27.7,34.4
2018,21.3,39.1,18.6,36.3,43.2,49.0,24.2,23.6,39.1,28.9,26.0,27.7,26.7,27.8,34.3
2019,25.4,36.8,16.1,43.3,33.2,36.6,45.6,24.0,38.9,29.6,25.1,27.8,23.7,29.3,28.0
2020,19.3,30.8,15.9,40.4,43.5,47.3,45.8,20.6,38.2,31.1,20.4,24.3,26.0,24.5,29.8
2021,24.0,31.8,16.9,44.5,29.2,41.2,44.2,21.0,34.6,29.0,21.7,25.8,22.8,24.5,28.8
